cell_type,species,positive_markers,negative_markers,notes
T cell,human;mouse,CD3,,Pan-T lineage marker
CD4 T cell,human;mouse,CD3;CD4,CD8,
CD8 T cell,human;mouse,CD3;CD8,CD4,
Regulatory T cell,human;mouse,CD3;CD4;CD25;FoxP3,CD127,
Naive T cell,human;mouse,CD3;CD45RA;CCR7,CD45RO,
Central memory T cell,human,CD3;CD45RO;CCR7;CD62L,,
Effector memory T cell,human,CD3;CD45RO,CCR7;CD62L,
Gamma-delta T cell,human;mouse,CD3;TCRgd,TCRab,
NKT-like cell,human,CD3;CD56,,Coarse CD3+CD56+ proxy -- not the invariant iNKT definition
Th1 cell,human;mouse,CD3;CD4;T-bet,,
Th17 cell,human;mouse,CD3;CD4;RORgT,,
B cell,human;mouse,CD19;CD20,CD3,
Naive B cell,human,CD19;IgD,CD27,
Memory B cell,human,CD19;CD27,IgD,
Plasmablast,human,CD19;CD38;CD138,CD20,
NK cell,human,CD56,CD3;CD19,
Classical monocyte,human,CD14,CD16,
Non-classical monocyte,human,CD16,CD14,
Neutrophil,human,CD66b;CD15,,
Neutrophil,mouse,Ly6G;CD11b,,
Eosinophil,mouse,Siglec F;CD11b,Ly6G,
Macrophage,mouse,CD11b;F4/80,,
Conventional dendritic cell,human,HLA-DR;CD11c,CD14,
Plasmacytoid dendritic cell,human,HLA-DR;CD123,CD11c,
cDC1,human,CD141;HLA-DR,CD1c,
cDC2,human,CD1c;HLA-DR,CD141,
